HourUTC,HourDK,PriceArea,SpotPriceDKK,SpotPriceEUR
2019-12-31T23:00:00+00:00,2020-01-01T00:00:00,DK1,249.65,33.42
2019-12-31T22:00:00+00:00,2019-12-31T23:00:00,DK1,241.12,32.28
2019-12-31T21:00:00+00:00,2019-12-31T22:00:00,DK1,246.79,33.04
2019-12-31T20:00:00+00:00,2019-12-31T21:00:00,DK1,247.76,33.17
2019-12-31T19:00:00+00:00,2019-12-31T20:00:00,DK1,250.53,33.54
2019-12-31T18:00:00+00:00,2019-12-31T19:00:00,DK1,252.84,33.85
2019-12-31T17:00:00+00:00,2019-12-31T18:00:00,DK1,265.02,35.48
2019-12-31T16:00:00+00:00,2019-12-31T17:00:00,DK1,268.75,35.98
2019-12-31T15:00:00+00:00,2019-12-31T16:00:00,DK1,261.51,35.01
2019-12-31T14:00:00+00:00,2019-12-31T15:00:00,DK1,256.43,34.33
2019-12-31T13:00:00+00:00,2019-12-31T14:00:00,DK1,252.02,33.74
2019-12-31T12:00:00+00:00,2019-12-31T13:00:00,DK1,249.33,33.38
2019-12-31T11:00:00+00:00,2019-12-31T12:00:00,DK1,247.54,33.14
2019-12-31T10:00:00+00:00,2019-12-31T11:00:00,DK1,238.65,31.95
2019-12-31T09:00:00+00:00,2019-12-31T10:00:00,DK1,234.92,31.45
2019-12-31T08:00:00+00:00,2019-12-31T09:00:00,DK1,241.12,32.28
2019-12-31T07:00:00+00:00,2019-12-31T08:00:00,DK1,230.21,30.82
2019-12-31T06:00:00+00:00,2019-12-31T07:00:00,DK1,202.95,27.17
2019-12-31T05:00:00+00:00,2019-12-31T06:00:00,DK1,175.53,23.5
2019-12-31T04:00:00+00:00,2019-12-31T05:00:00,DK1,137.21,18.37
2019-12-31T03:00:00+00:00,2019-12-31T04:00:00,DK1,73.28,9.81
2019-12-31T02:00:00+00:00,2019-12-31T03:00:00,DK1,37.12,4.97
2019-12-31T01:00:00+00:00,2019-12-31T02:00:00,DK1,95.91,12.84
2019-12-31T00:00:00+00:00,2019-12-31T01:00:00,DK1,161.27,21.59
2019-12-30T23:00:00+00:00,2019-12-31T00:00:00,DK1,172.1,23.04
2019-12-30T22:00:00+00:00,2019-12-30T23:00:00,DK1,181.73,24.33
2019-12-30T21:00:00+00:00,2019-12-30T22:00:00,DK1,221.69,29.68
2019-12-30T20:00:00+00:00,2019-12-30T21:00:00,DK1,221.62,29.67
2019-12-30T19:00:00+00:00,2019-12-30T20:00:00,DK1,229.16,30.68
2019-12-30T18:00:00+00:00,2019-12-30T19:00:00,DK1,235.89,31.58
2019-12-30T17:00:00+00:00,2019-12-30T18:00:00,DK1,257.17,34.43
2019-12-30T16:00:00+00:00,2019-12-30T17:00:00,DK1,258.44,34.6
2019-12-30T15:00:00+00:00,2019-12-30T16:00:00,DK1,256.95,34.4
2019-12-30T14:00:00+00:00,2019-12-30T15:00:00,DK1,251.05,33.61
2019-12-30T13:00:00+00:00,2019-12-30T14:00:00,DK1,235.51,31.53
2019-12-30T12:00:00+00:00,2019-12-30T13:00:00,DK1,228.64,30.61
2019-12-30T11:00:00+00:00,2019-12-30T12:00:00,DK1,226.33,30.3
2019-12-30T10:00:00+00:00,2019-12-30T11:00:00,DK1,201.23,26.94
2019-12-30T09:00:00+00:00,2019-12-30T10:00:00,DK1,217.06,29.06
2019-12-30T08:00:00+00:00,2019-12-30T09:00:00,DK1,238.28,31.9
2019-12-30T07:00:00+00:00,2019-12-30T08:00:00,DK1,239.32,32.04
2019-12-30T06:00:00+00:00,2019-12-30T07:00:00,DK1,226.92,30.38
2019-12-30T05:00:00+00:00,2019-12-30T06:00:00,DK1,200.93,26.9
2019-12-30T04:00:00+00:00,2019-12-30T05:00:00,DK1,122.72,16.43
2019-12-30T03:00:00+00:00,2019-12-30T04:00:00,DK1,35.93,4.81
2019-12-30T02:00:00+00:00,2019-12-30T03:00:00,DK1,10.46,1.4
2019-12-30T01:00:00+00:00,2019-12-30T02:00:00,DK1,46.01,6.16
2019-12-30T00:00:00+00:00,2019-12-30T01:00:00,DK1,88.44,11.84
2019-12-29T23:00:00+00:00,2019-12-30T00:00:00,DK1,82.69,11.07
2019-12-29T22:00:00+00:00,2019-12-29T23:00:00,DK1,155.81,20.86
2019-12-29T21:00:00+00:00,2019-12-29T22:00:00,DK1,190.92,25.56
2019-12-29T20:00:00+00:00,2019-12-29T21:00:00,DK1,224.23,30.02
2019-12-29T19:00:00+00:00,2019-12-29T20:00:00,DK1,229.99,30.79
2019-12-29T18:00:00+00:00,2019-12-29T19:00:00,DK1,243.06,32.54
2019-12-29T17:00:00+00:00,2019-12-29T18:00:00,DK1,249.11,33.35
2019-12-29T16:00:00+00:00,2019-12-29T17:00:00,DK1,253.89,33.99
2019-12-29T15:00:00+00:00,2019-12-29T16:00:00,DK1,252.02,33.74
2019-12-29T14:00:00+00:00,2019-12-29T15:00:00,DK1,245.45,32.86
2019-12-29T13:00:00+00:00,2019-12-29T14:00:00,DK1,230.06,30.8
2019-12-29T12:00:00+00:00,2019-12-29T13:00:00,DK1,228.64,30.61
2019-12-29T11:00:00+00:00,2019-12-29T12:00:00,DK1,239.25,32.03
2019-12-29T10:00:00+00:00,2019-12-29T11:00:00,DK1,231.03,30.93
2019-12-29T09:00:00+00:00,2019-12-29T10:00:00,DK1,228.57,30.6
2019-12-29T08:00:00+00:00,2019-12-29T09:00:00,DK1,224.38,30.04
2019-12-29T07:00:00+00:00,2019-12-29T08:00:00,DK1,205.56,27.52
2019-12-29T06:00:00+00:00,2019-12-29T07:00:00,DK1,187.48,25.1
2019-12-29T05:00:00+00:00,2019-12-29T06:00:00,DK1,169.71,22.72
2019-12-29T04:00:00+00:00,2019-12-29T05:00:00,DK1,159.18,21.31
2019-12-29T03:00:00+00:00,2019-12-29T04:00:00,DK1,156.64,20.97
2019-12-29T02:00:00+00:00,2019-12-29T03:00:00,DK1,170.68,22.85
2019-12-29T01:00:00+00:00,2019-12-29T02:00:00,DK1,201.08,26.92
2019-12-29T00:00:00+00:00,2019-12-29T01:00:00,DK1,209.89,28.1
2019-12-28T23:00:00+00:00,2019-12-29T00:00:00,DK1,228.57,30.6
2019-12-28T22:00:00+00:00,2019-12-28T23:00:00,DK1,225.36,30.17
2019-12-28T21:00:00+00:00,2019-12-28T22:00:00,DK1,259.58,34.75
2019-12-28T20:00:00+00:00,2019-12-28T21:00:00,DK1,262.49,35.14
2019-12-28T19:00:00+00:00,2019-12-28T20:00:00,DK1,261.22,34.97
2019-12-28T18:00:00+00:00,2019-12-28T19:00:00,DK1,265.55,35.55
2019-12-28T17:00:00+00:00,2019-12-28T18:00:00,DK1,270.85,36.26
2019-12-28T16:00:00+00:00,2019-12-28T17:00:00,DK1,279.97,37.48
2019-12-28T15:00:00+00:00,2019-12-28T16:00:00,DK1,281.84,37.73
2019-12-28T14:00:00+00:00,2019-12-28T15:00:00,DK1,267.87,35.86
2019-12-28T13:00:00+00:00,2019-12-28T14:00:00,DK1,260.77,34.91
2019-12-28T12:00:00+00:00,2019-12-28T13:00:00,DK1,252.33,33.78
